tag,sp,quadrat,dbh,hom,Height (m),Notes
120880,CACA18,1213,105,1.37,11.5,
120884,LITU,1213,553,,30.6,
120890,LIBE3,1213,18.7,1.37,2.6,
120893,LIST2,1213,545,,35.3,
120901,LIBE3,1213,12.6,1.37,,dead - spice bush
120911,LIBE3,1213,12.1,1.37,,dead - spice bush
120921,CELA,1213,250,1.37,18.9,
120933,CELA,1214,144,1.37,7.7,
120943,ACNE2,1214,329,1.37,27.0,
120953,CELA,1214,76,1.37,10.3,
120964,LIBE3,1214,12.6,1.37,1.7,
130769,FAGR,1310,383,1.37,31.1,
130781,CACA38,1310,240,1.37,13.4,
130793,OSVI,1310,120,1.37,7.2,
130803,CAGL8,1310,392,1.37,28.6,
130813,AEFL,1311,79,1.37,5.4,
130823,FRAMCO,1311,421,1.37,18.8,
130834,TIAM,1311,37,1.37,2.3,
130845,FRAMCO,1311,399,1.37,14.9,
130855,QUMU,1311,129,1.37,8.0,
130865,ULAL,1311,23.4,1.37,2.3,
130876,CELA,1312,127,1.37,9.0,
130888,LIBE3,1312,20.7,1.37,1.9,
130898,CACA18,1312,120.5,1.37,4.3,
130909,AESCU,1312,28.5,1.37,1.7,
130923,LIBE3,1313,14.2,1.37,1.7,
130933,LITU,1313,529,,37.5,
130934,QUMU,1313,72,1.37,6.2,
130937,LITU,1313,512,,50.0,
130942,LITU,1313,440,,41.9,
130944,LIST2,1313,106,1.37,12.6,
130945,LITU,1313,392,,43.7,
130952,LIST2,1313,457,,29.3,
130954,FAGR,1313,80,1.37,7.0,
150471,ACSA3,1508,313,,21.5,
150475,ACSA3,1508,81,1.37,8.4,
150481,QUAL,1508,322,,22.1,
150485,ACSA3,1508,67,1.42,8.4,
150495,CECA4,1508,16.8,1.37,1.8,
150506,OSVI,1508,19.4,1.37,1.6,
150508,QUAL,1508,503.5,,25.8,
150517,ACSA3,1508,58,1.37,17.9,
150523,QUAL,1508,491,,27.1,
150527,ACSA3,1509,103,1.42,15.2,
150537,ACSA3,1509,225.5,1.37,18.1,
150548,AEFL,1509,209,1.37,29.8,
150558,ULAL,1509,156,1.37,16.7,
150568,LIST2,1509,289.5,1.37,18.3,
150578,OSVI,1509,96,1.32,10.9,
150588,FOLI,1510,12.5,1.37,1.1,
150599,FAGR,1510,44,1.37,3.7,
150609,TIAM,1510,37,1.37,0.9,
150619,MAAC,1510,36,1.37,2.7,
150630,FAGR,1510,62,1.39,4.8,
150640,LIST2,1511,248,1.37,13.7,
150652,TIAM,1511,65,1.37,4.6,
150663,TIAM,1511,154,1.37,14.5,
150670,LIST2,1511,366,,44.8,
150671,LIST2,1511,431,,16.9,
150673,FAGR,1511,38,1.37,5.2,
150683,ACSA3,1511,117,1.37,9.1,
150696,ACSA3,1511,391,1.37,23.2,
160297,ACSA3,1607,69,1.37,5.5,
160310,OSVI,1607,36,1.37,,fallen and dead
160321,ACSA3C,1607,41,1.37,4.2,
160331,MAAC,1607,128,1.37,13.5,
160341,ULAL,1607,25,1.37,2.1,
160352,ACSA3C,1607,137,1.37,15.3,
160362,CAOV2,1607,264,1.37,24.8,
