"","tag","sp.x","quadrat.x","dbh.x","hom.x","Height..m.","Notes"
"169",81107,"LITU",818,328,NA,"31.6",""
"170",81108,"ACSA3C",818,66,1.37,"8.1",""
"171",81119,"ACSA3C",818,91,1.37,"17.6",""
"172",81129,"ACSA3C",818,64,1.37,"9.3",""
"173",81141,"LIBE3",818,22,1.39,"2.7","suspected dead"
"174",81158,"ASTR",818,17,1.37,"4.4",""
"175",81163,"FAGR",818,786,NA,"38.0",""
"176",91101,"LIST2",914,395,NA,"26.7",""
"177",91147,"LIST2",914,395,NA,"29.3",""
"178",91162,"LIST2",914,480,NA,"27.2",""
"179",91173,"CELA",915,36,1.37,"5.0",""
"180",91185,"LITU",915,552,NA,"34.9",""
"181",91186,"TIAM",915,77,1.37,"7.6",""
"182",91196,"ACSA3C",915,90,1.3,"11.7",""
"183",91201,"LITU",915,618,NA,"33.3",""
"184",91206,"FRAMCO",915,449,1.37,"32.6",""
"185",91218,"MAAC",915,783,1.37,"29.8",""
"186",91228,"ACSA3C",916,84,1.35,"9.2",""
"187",91238,"FAGR",916,230,1.42,"24.8",""
"188",91240,"FAGR",916,350,NA,"36.4",""
"189",91250,"ACSA3C",916,83,1.37,"9.5",""
"190",91261,"ACSA3C",917,244,1.37,"23.6",""
"191",91272,"MAAC",917,474,1.37,"28.0",""
"192",91284,"ACSA3C",917,65,1.37,"10.0","suspected dead"
"193",91295,"TIAM",917,62,1.37,"7.7",""
"194",101152,"ACNE2",1013,281,1.37,"23.0",""
"195",101165,"LIBE3",1013,23.5,1.37,"2.0",""
"196",101176,"CACA18",1014,132,1.37,"6.3",""
"197",101183,"LITU",1014,582.5,NA,"27.3",""
"198",101189,"LIBE3",1014,22.2,1.37,"3.0",""
"199",101201,"LIBE3",1014,15.3,1.35,"3.8",""
"200",101213,"LIBE3",1014,11.4,1.37,"2.0",""
"201",101224,"LIBE3",1014,11.4,1.37,"1.7",""
"202",101235,"LIBE3",1015,14.3,1.37,"2.0",""
"203",101245,"ACSA3",1015,301,NA,"18.3",""
"204",101248,"ACSA3",1015,181,1.37,"14.0",""
"205",101262,"AEFL",1015,22.1,1.37,"3.9",""
"206",101268,"LITU",1015,303,NA,"21.2",""
"207",101275,"ACSA3",1015,35,1.35,"1.7","leaning"
"208",101294,"LIBE3",1015,15.1,1.37,"2.0",""
"209",101312,"LIBE3",1016,13.8,1.32,"3.1",""
"210",101328,"LIBE3",1016,15.5,1.37,"2.9",""
"211",101341,"ACNE2",1016,15.6,1.37,"2.0",""
"212",101353,"VIRU",1016,13,1.37,"3.1",""
"213",101364,"FAGR",1016,46,1.37,"4.2",""
"214",101365,"LIST2",1016,531,NA,"34.6",""
"215",101374,"FRAMCO",1016,360,1.37,"20.6",""
"216",101385,"TIAM",1016,154,1.37,"10.0",""
"217",110901,"OSVI",1112,63,1.37,"6.0",""
"218",110914,"CELA",1112,288,1.37,"12.1",""
"219",110926,"ACNE2",1112,74,1.37,"4.3",""
"220",110936,"ACSA3",1112,461,NA,"20.9",""
"221",110938,"CACA18",1112,92,1.37,"6.7",""
"222",110949,"LITU",1112,468,1.37,"37.3",""
"223",110959,"TIAM",1112,18.6,1.37,"3.7",""
"224",110974,"ULAL",1113,26.2,1.37,"2.2",""
"225",110992,"LIBE3",1113,14,1.37,"1.9",""
"226",111010,"JUNI",1113,220,1.37,"16.5",""
"227",111022,"AESCU",1113,12.2,1.32,"1.7",""
"228",111034,"CACA18",1114,76,1.32,"7.3",""
"229",111043,"LITU",1114,464,NA,"36.3",""
"230",111044,"CACA18",1114,48,1.37,"4.9",""
"231",111045,"LITU",1114,399,NA,"31.1",""
"232",111055,"LIBE3",1115,19.3,1.37,"1.7",""
"233",111066,"ACNE2",1115,50,1.42,"","dead"
"234",120723,"VIRU",1211,101,1.37,"6.9",""
"235",120734,"CACA18",1211,85,1.51,"9.9",""
"236",120745,"AESCU",1211,45,1.39,"4.1",""
"237",120755,"AEFL",1211,222,1.37,"9.6",""
"238",120765,"ULAL",1211,48,1.37,"25.0",""
"239",120777,"AEFL",1211,189,1.37,"10.7",""
"240",120788,"VIRU",1211,55,1.37,"4.6",""
"241",120805,"CACA18",1212,49.5,1.37,"4.5",""
"242",120815,"QUAL",1212,625,NA,"35.5",""
"243",120816,"FAGR",1212,45,1.37,"4.2",""
"244",120827,"LIBE3",1212,13.4,1.37,"1.7",""
"245",120842,"LIBE3",1212,10.2,1.37,"1.7",""
"246",120847,"LITU",1212,384,NA,"30.2",""
"247",120852,"LIBE3",1212,22.5,1.37,"3.0",""
"248",120867,"LIBE3",1212,11.9,1.37,"1.7",""
"249",120879,"LIST2",1213,349,NA,"20.5",""
"250",120880,"CACA18",1213,105,1.37,"11.5",""
"251",120884,"LITU",1213,553,NA,"30.6",""
"252",120890,"LIBE3",1213,18.7,1.37,"2.6",""
"253",120893,"LIST2",1213,545,NA,"35.3",""
"254",120901,"LIBE3",1213,12.6,1.37,"","dead - spice bush"
"255",120911,"LIBE3",1213,12.1,1.37,"","dead - spice bush"
"256",120921,"CELA",1213,250,1.37,"18.9",""
"257",120933,"CELA",1214,144,1.37,"7.7",""
"258",120943,"ACNE2",1214,329,1.37,"27.0",""
"259",120953,"CELA",1214,76,1.37,"10.3",""
"260",120964,"LIBE3",1214,12.6,1.37,"1.7",""
"261",130769,"FAGR",1310,383,1.37,"31.1",""
"262",130781,"CACA38",1310,240,1.37,"13.4",""
"263",130793,"OSVI",1310,120,1.37,"7.2",""
"264",130803,"CAGL8",1310,392,1.37,"28.6",""
"265",130813,"AEFL",1311,79,1.37,"5.4",""
"266",130823,"FRAMCO",1311,421,1.37,"18.8",""
"267",130834,"TIAM",1311,37,1.37,"2.3",""
"268",130845,"FRAMCO",1311,399,1.37,"14.9",""
"269",130855,"QUMU",1311,129,1.37,"8.0",""
"270",130865,"ULAL",1311,23.4,1.37,"2.3",""
"271",130876,"CELA",1312,127,1.37,"9.0",""
"272",130888,"LIBE3",1312,20.7,1.37,"1.9",""
"273",130898,"CACA18",1312,120.5,1.37,"4.3",""
"274",130909,"AESCU",1312,28.5,1.37,"1.7",""
"275",130923,"LIBE3",1313,14.2,1.37,"1.7",""
"276",130933,"LITU",1313,529,NA,"37.5",""
"277",130934,"QUMU",1313,72,1.37,"6.2",""
"278",130937,"LITU",1313,512,NA,"50.0",""
"279",130942,"LITU",1313,440,NA,"41.9",""
"280",130944,"LIST2",1313,106,1.37,"12.6",""
"281",130945,"LITU",1313,392,NA,"43.7",""
"282",130952,"LIST2",1313,457,NA,"29.3",""
"283",130954,"FAGR",1313,80,1.37,"7.0",""
"284",150471,"ACSA3",1508,313,NA,"21.5",""
"285",150475,"ACSA3",1508,81,1.37,"8.4",""
"286",150481,"QUAL",1508,322,NA,"22.1",""
"287",150485,"ACSA3",1508,67,1.42,"8.4",""
"288",150495,"CECA4",1508,16.8,1.37,"1.8",""
"289",150506,"OSVI",1508,19.4,1.37,"1.6",""
"290",150508,"QUAL",1508,503.5,NA,"25.8",""
"291",150517,"ACSA3",1508,58,1.37,"17.9",""
"292",150523,"QUAL",1508,491,NA,"27.1",""
"293",150527,"ACSA3",1509,103,1.42,"15.2",""
"294",150537,"ACSA3",1509,225.5,1.37,"18.1",""
"295",150548,"AEFL",1509,209,1.37,"29.8",""
"296",150558,"ULAL",1509,156,1.37,"16.7",""
"297",150568,"LIST2",1509,289.5,1.37,"18.3",""
"298",150578,"OSVI",1509,96,1.32,"10.9",""
"299",150588,"FOLI",1510,12.5,1.37,"1.1",""
